Name,Organization Type,Aid Type,Support Region,Contact,Online Info,For the Tenant,Description,Last Updated,Languages / Communication Needs Served,Upcoming Happenings
CommCare Mental Health & Suicide Prevention Crisis Hotline,,Mental Health,KC Metro Area,,https://www.firststepforhelp.com/,CommCare Mental Health & Suicide Prevention Crisis hotline: 888-279-8188,"CommCare is a not-for-profit behavioral health management organization that works in collaboration with Community Behavioral Health Centers and other providers to continually improve access to affordable, high quality, and effective behavioral health services. Our vision is a community where people are efficiently and effectively connected with high quality behavioral health services, supporting wellness and productivity of all. Resource map: https://www.firststepforhelp.com/resource-map                                                                                     http://www.commcare1.org/ 
CommCare crisis line is a warm line, but they refer people to the Suicide National Hotline, share different resources around the KC Metro Area, provide EAP, telepsychiatry through FirstStep, and more. Seems mostly like a referral resource. 
Accessibility:
• Some interpretive services, not specified. 
• Resources for people who are D(d)eaf and HoH also not specified.
• Safe resource for queer and undocumented people","June 26, 2023",,
Cross-Lines Community Outreach,Non-Profit,Inability to Pay Rent,Wyandotte County KS Residents Only,913-281-3388,https://www.cross-lines.org/get-help/,"Cross-Lines: Rent/utility assistance. APPLY HERE: https://www.cross-lines.org/get-help/

Community Kitchen Meals, Emergency Showers, Emergency Laundry, Food pantry (currently for Wyandotte County residents only), Senior Commodities, 736 Shawnee Ave, KCK",,"June 30, 2023",,
Disaster Assistance Crisis Line,Government-Run,Mental Health,No Limit,800-985-5990,,Disaster Assistance Crisis Line: 800-985-5990,"The national Disaster Distress Helpline (call or text 1-800-985-5990; for Spanish, press “2”)  is dedicated to providing crisis counseling and support 24/7/365 for anyone in the U.S./territories experiencing emotional distress or other mental health concerns related to any natural or human-caused disaster. Callers can connect with DDH hotline counselors in 100+ additional languages via third-party interpretation services. People who are Deaf or hard of hearing can use the text option, or for TTY, use their preferred Relay service or dial 7-1-1 and then 1-800-985-5990.","June 30, 2023",,
Dollarfor.org,Non-Profit,"Accessibility, Financial Aid, Physical Health",No Limit,https://dollarfor.org/,https://dollarfor.org/,"Dollarfor.org helps you apply for medical debt relief or reduction. You will need to know name of hospital, bill date and amount, annual income, people in household, insured/uninsured. If you quality, they will submit a financial assistance application to your hospital for you FOR FREE. They can also send you instructions on how to apply to the hospital for yourself if you don’t want them to do it for you. You can fill out their form at: https://dollarfor.org/help/ to see if you qualify.","Dollarfor.org streamlines the process of medical debt relief/ medical bill reduction. Step 1: fill out their form to see if you are eligible for aid (will need to know name of hospital, bill date and amount, annual income, people in household, insured/uninsured), Step 2: IF you quality, they will submit a financial assistance application to your hospital for you FOR FREE. They can also send you instructions on how to apply to the hospital for yourself if you don’t want them to do it for you.","January 8, 2024",,
El Centro,Non-Profit,"Accessibility, Immigration, Inability to Pay Rent, Mental Health, Physical Health","Johnson County KS Residents Only, Wyandotte County KS Residents Only","(913) 677 - 0100
https://www.elcentroinc.com/about-us/contact-us/",https://www.elcentroinc.com/,"El Centro: El Centro provides resources and support for Latinos in the Kansas City, Kansas area. (913) 677 - 0100 or https://www.elcentroinc.com/about-us/contact-us/

El Centro: El Centro brinda recursos y apoyo a los latinos en el área de Kansas City, Kansas. (913) 677 - 0100 o https://www.elcentroinc.com/about-us/contact-us/","El Centro provides direct service resources to support the Latino community in the Kansas City Kansas region. These include:
• Citizenship Assistance
• DACA Clinics
• Know Your Rights training
• Voter registration and engagement
• Financial Literacy
• Emergency Financial Assistance (Utility assistance in Wyandotte and utility or rent assistance in Johnson. One time only. Requires completion of the Financial Literacy class.)
• Tax preparation assistance
• Health Navigation services (Including mental health)
• Bilingual Pre-K for children ages 2 1/2 - 5
• After school and summer programs for children in Kindergarten to 6th Grade

All services are free except for a $30 fee for document translation and notary services. There are no eligibility requirements for services. This resource is safe for undocumented folks and queer folks. All staff are bilingual (Spanish & English) and services are designed to support the Latino community. They don't provide interpretive services for any other language and if someone is hard of hearing, they usually also have someone on the line to help them during the call.","June 28, 2023",,
Elderly or Disabled Abuse Hotline,Government-Run,"Disability Services, Landlord Harassment, Mental Health, Physical Health, Senior Services, Sexual Violence, Unhealthy Living Conditions",Missouri Residents Only,1-800-392-0210,https://health.mo.gov/safety/abuse/,Adult Abuse & Neglect Non-Emergency Hotline: 1-800-392-0210 or fill out the online form at  https://apps4.mo.gov/APS_Portal/,"The Missouri Department of Health and Senior Services (DHSS) investigates abuse, neglect, financial exploitation, and bullying of vulnerable individuals 60 and older and people with disabilities between 18 and 59. 

You may make reports to the online reporting system 24/7; however, it is only being monitored by intake staff during the Hotline hours of operation, from 7 a.m. to 8 p.m., 365 days per year. People who are deaf or hard of hearing may utilize Relay Missouri by calling 1-800-735-2466.","June 28, 2023",,
Getting Involved Links (and events),KC Tenants!,Interested in Organizing,,"meetings
1/18/25 Zoom
1/25/25 Zoom",https://kctenants.org/contact,"We’re excited you want to join our citywide tenant union. Please fill out this New Member Form so we can learn more about you: https://bit.ly/kctnew23.
I also recommend you attend our next new member orientation, on Zoom from 6-8 PM on the last Thursday of every month! RSVP here: https://lnk.bio/KCTNewMemberOrientation
Our base meetings usually happen every Saturday 3-5pm either via Zoom:https://bit.ly/KCTbaseMTG or in person at 620 E Armour Blvd, KCMO 64109","This is a list of everything that a person interested in getting involved with KCT might need.
New Member Form: https://bit.ly/kctnew23
New Member Orientation: https://lnk.bio/KCTNewMemberOrientation
Base meeting Zoom: http://bit.ly/tenantmtg24","January 17, 2025",,
Goodwill Employment Services,Non-Profit,Unemployment,KC Metro Area,(816) 842 - 7425,https://mokangoodwill.wufoo.com/forms/referral-form/,Goodwill: Goodwill offers no-cost services for finding and training for jobs https://mokangoodwill.wufoo.com/forms/referral-form/,"Individuals will receive individualized support to build skills, make connections with employers, and gain employment. On-going retention support will also be provided.

Alternate form: https://form.jotform.com/213015488730049
This one offers more options for resources, but requests more personal info. Both go to Goodwill of Western Missouri & Eastern Kansas.","June 29, 2023",,
Healthy Homes,Government-Run,"Unhealthy Living Conditions, Utility Issues",KCMO Residents Only,(816) 513-6464,https://www.kcmo.gov/city-hall/departments/health/healthy-homes-rental-inspection-program,HEALTHY HOMES: Call KCMO Healthy Homes Rental Inspection Program at (816) 513-6464 OR call 3-1-1,"The Healthy Homes Rental Inspection Program follows up on reports of unhealthy living conditions; after inspecting the property, they alert the landlord of changes they have to make. Once the Health Department receives the complaint it is logged and assigned to an inspector. The inspector will contact the person who submitted the complaint afterwards to schedule an inspection time.

**Healthy Homes will refer the caller to LIHEAP for utility assistance.","June 28, 2023",,
Heartland Center for Jobs and Freedom,Legal Assistance,"Eviction/Illegal Lockout, Landlord Harassment, Lease Dispute, Unhealthy Living Conditions","Jackson County Residents Only, Missouri Residents Only",(816) 278 - 1344,http://www.jobsandfreedom.org/,"HEARTLAND CENTER FOR JOBS AND FREEDOM (HCJF): They can assist with legal questions that revolve around formal/informal evictions, landlord harassment, uninhabitable conditions, and lease questions. Please fill out this form: http://form.jotform.com/212028683025147.
If your questions are still unanswered after completing the interactive guide, the Heartland Center will collect your contact information and reach out to you directly.","“The Tenant Problem Solver (http://form.jotform.com/212028683025147) can be used by any Missouri tenant. For eviction cases, we provide legal representation under Right to Counsel, and only take cases that are in both KCMO and Jackson County. UMKC and Legal Aid cover KCMO residents in Clay, Cass, and Platte. This is just to simplify assigning cases and avoid conflicting court dates between counties. We receive intakes through the RTC centralized intake system vs taking clients on directly. 
 
Our Safe Homes for All program, which litigates habitability issues, is for all of Jackson County. We would consider neighboring counties as well. That being said, we’re not yet at a point where we’re really taking referrals because the need is SO great. We encourage anyone with habitability issues to fill out the Tenant Problem Solver so that we have their data, and if we pursue a case against their landlord, we will contact them.”","January 31, 2024",,
Hillcrest Transitional Housing,Non-Profit,"Houselessness, Seeking Housing",KC Metro Area,(816) 994-6934,https://hillcrestkc.org/apply-for-housing/,"Hillcrest Transitional Housing offers a 90 day adult transitional housing program, a youth transitional housing program, and a rapid re-housing program. Visit https://hillcrestkc.org/apply-for-housing/ to apply or call (816) 994-6934 for details. ","Hillcrest has offers different housing programs that have varying employment and drug abstinence requirements: 

90 Adult Transitional Housing Program
During this time, Hillcrest provides a rent- and utility-free apartment, access to a food pantry, and case management.
Requirements: 
1. Adults must be able to find and maintain 35-40 hours per week of employment.
2. Participants must be able to attend 4-5 weekly sessions for life skills, case management, and budgeting. These will be scheduled around work and school commitments.

Youth Transitional Program
Requirements: 
1. Participants must be able to attend 4-5 weekly sessions for life skills, case management, and budgeting. These will be scheduled around work and school commitments.
2. Youth program participants must have an educational goal (diploma, GED, college, vo-tech, etc.), and be willing to find 10-15 hours per week of employment.
3. Participants in the youth transitional housing program must be age 16-24.

Rapid Re-Housing - KC Northland & NW Missouri
Hillcrest also offers a rapid re-housing program through its offices in Clay & Clinton Counties in Missouri. This program provides case management, housing location assistance, and financial assistance to help literally homeless youth (ages 17-24), singles, couples, and families with children obtain rental housing of their choosing within the Northland and Northwest Missouri (Andrew, Buchanan, Caldwell, Clinton, Daviess, DeKalb, Livingston, and Ray Counties) areas.

Clients must be “literally homeless” to qualify for this program, meaning they are living on the streets, in a car, or other place not meant for human habitation; living in an emergency shelter; or, fleeing domestic violence/assault.","September 8, 2023",,
Hope Faith Ministries,Non-Profit,,,816-471-4673 info@hopefaith.org,,"Hope Faith Ministries: They offer meals, showers, laundry and haircuts. There is also an eye clinic available on-site. 705 Virginia Ave, KC, MO","Hope Faith Ministries is open M-F from 6:30-2pm and 1pm on Thursdays. They offer meals, showers, laundry, and haircuts. KC Free Eye Clinic is also on campus to provide free eye care services.
Walk-ins are welcome and there are no appointments needed during open hours. ","June 26, 2023",,
Housing Authority KC,Government-Run,Seeking Housing,,https://www.hakc.org/apply-online - application for public housing and housing vouchers,https://www.hakc.org/public-housing,Housing Authority KC application form: https://www.hakc.org/apply-online,"This is income-based housing. Tenants can join the Section 8 (housing voucher) waiting list, the Public Housing waiting list or both. The waiting time for Housing Choice Voucher (Section 8) program averages 1-3 years. The Public Housing waiting time averages 6 to 18 months. Those on the waitlist must notify the Housing Authority of any change in address. The link to check the waitlist and other important information can be found here: https://www.hakc.org/tenant-selection-faqs","June 26, 2023",,
How to File a Complaint Against a Missouri Landlord,,"Landlord Harassment, Unhealthy Living Conditions",Missouri Residents Only,no contact info,https://justicedirect.com/post/landlord-complaint-missouri,"If your local municipality does not regulate landlords you can use the resources on this page to try and get your issue resolved. https://justicedirect.com/post/landlord-complaint-missouri ","A website website with different ways you can file a complaint against your landlord, including 
(1) sending a formal letter to your landlord
(2) filing a government complaint with either a federal or Missouri government agency that regulates landlords
(3) filing a BBB complaint, and (4) suing in small claims court.

The types of complaints it addresses are
• Your landlord refuses to return your https://www.peopleclerk.com/post/how-to-get-security-deposit-back after you move out.
• The terms under your lease have been breached. For example, your landlord increases the rent before the lease term is over, breaching the terms of the lease agreement.
• Your landlord has breached Missouri’s implied warranty of habitability. Warranty of habitability means that regardless of any contradicting lease term, your landlord is required to keep your unit in a habitable condition at all times.
• You are being harassed by the landlord.
• You experienced discrimination based on your race, ethnicity, gender, sexuality, disability, familial status, etc. For example, you were denied renting an apartment due to your gender.
• Your landlord refuses to make necessary repairs to the rental unit as per the lease terms.
• Your landlord refuses to do anything about excessive noise or other issues you are having with your neighbors.

","August 21, 2024",,
HUD Kansas Legal Aid Resources,Government-Run,"Eviction/Illegal Lockout, Lease Dispute",Kansas Residents Only,N/A,https://www.hud.gov/states/kansas/homeless/legalaid,"For legal aid resources in Kansas, visit this HUD page for details: https://www.hud.gov/states/kansas/homeless/legalaid","HUD website with different legal aid resources available in Kansas: 

• https://www.bbb.org/ - report problems with businesses
• https://www.americanbar.org/groups/center-pro-bono/resources/directory_of_law_school_public_interest_pro_bono_programs/
• https://www.justice.gov/eoir/list-pro-bono-legal-service-providers - U.S. Department of Justice
• https://ksbar.org/?pg=clientreferrals
• https://www.kansaslegalservices.org/
• https://www.kansaslegalservices.org/node/65/contact-us-office-locations
• https://www.sbids.org/","September 8, 2023",,
Kansas City Right to Counsel Office,Government-Run,Eviction/Illegal Lockout,KCMO Residents Only,"Phone
(816) 474-5112",gkcassistanceprogram.org/EvictionDefense,"Every KCMO tenant is guaranteed no-cost legal representation in landlord-tenant cases. Tenants can seek an attorney at https://gkcassistanceprogram.org/EvictionDefense/ or by calling 816-474-5112.  

NOTE: This program has a limited number of slots available each week, so they will often run out of availability mid-week. We recommend calling as early in the week as possible once an eviction has been filed in court, ideally on Monday.","Kansas City Right to Counsel Office provides legal assistance for any Kansas City, Missouri resident with an upcoming court date/case with their landlord. It was fought for and won by KC Tenants!

Call immediately, and best time to call is Monday morning.","June 27, 2023",,
Kansas Housing Resources Corporation,Non-Profit,"Houselessness, Inability to Pay Rent, Lease Dispute, Seeking Housing",Kansas Residents Only,(785) 217-2001,https://kshousingcorp.org/,"The Kansas Housing Resources Corporation offers a wide range of resources for houseless people, renters, and homeowners in Kansas: 
https://kshousingcorp.org/
(785) 217-2001","This website is a good central hub for possible programs and assistance for Kansas residents. They have resources for renters, houseless people, and even homeowners. 

Rental assistance page: https://kshousingcorp.org/tenant-based-rental-assistance/
^^ Click on “TBRA Service Providers”, which leads to a list of providers by county. ctrl+f and type the county name to search the list for providers in the county of residence.

Contact: Shyla Rockett 785-217-2045 < - - - need to re-verify this

Emergency Solutions Grant: 
- Offers assistance to those who are houseless or at risk of becoming houseless
Requirements:
• Those who lack a fixed, regular, adequate nighttime residence
• Those who will lose their primary nighttime residence within 14 days
• Unaccompanied youth under 25 years of age, or families with children and youth who have not had permanent housing in the past 60 days
• Those fleeing or attempting to flee domestic violence
Contact: Doug Wallace (785) 217-2019 mailto:DWallace@kshousingcorp.org","July 11, 2024",,
Kansas Human Rights Commission,Government-Run,"Accessibility, Immigration, Landlord Harassment, Lease Dispute, Sexual Violence",Kansas Residents Only,Call 1-888-793-6874,http://www.khrc.net/pdf/housing-intake.pdf,The Kansas Human Rights Commission offers aid to people who believe they have been discriminated against in housing matters. Call 1-888-793-6874,"The Kansas Human Rights Commission offers aid to people who believe they have been discriminated against in housing (not for evictions, just discrimination).
Turnaround time is same business day or next business day.","June 27, 2023",,
Kansas Legal Services,Legal Assistance,"Eviction/Illegal Lockout, Landlord Harassment, Lease Dispute",Kansas Residents Only,"To apply for assistance, call (316) 267-3975 or apply here (online form preferred): https://www.kansaslegalservices.org/node/809
KCK office address: 400 State Avenue, Suite 1015, 66101 
KCK office telephone: 913-621-0200",https://www.kansaslegalservices.org/node/809,"Kansas Legal Services - To apply for assistance, call (316) 267-3975 or apply here (online form preferred): https://www.kansaslegalservices.org/node/809","Kansas Legal Services serves low-income Kansans with legal needs. 
- Turnaround time: a few days
- Call hours: M-F, 7:30am-5pm. Best time to call: 7:30am-8:30am, 10am-12pm, and 3pm-5pm.
- Income eligibility: “Most of our programs are based on federal poverty guidelines. In general, unless there's a conflict of interest, we can at least advise anyone who is under 150% of the poverty guidelines, and we can fully represent some, but not all, applicants. However, we can advise anyone over 60 regardless of their income and we can advise, and possibly represent, survivors of domestic violence if the eviction is in some way related to the domestic violence.”
- Social Security Number / citizenship: “We do ask that applicants provide a Social Security number so that we can run a conflict check. For most of our programs, including evictions, we can help applicants with many types of legal status. We can only assist undocumented people if they are survivors of domestic violence as long as the eviction is in some way related to the domestic violence.”
- Police: “With regards to eviction cases, we don't really coordinate with law enforcement. Occasionally we will contact sheriffs' offices to ask them when they are going to execute writs of restitution to remove tenants after an eviction judgment so that we can let the tenant know. On the rare occasion when we get a stay of execution, we also contact the sheriffs' offices to let them know about the stay so that they don't remove the tenant. In other types of cases, we might coordinate with law enforcement to get opposing parties served, let them know when the opposing party is going to be somewhere where they can be served, etc.,”
- Tenant Resources including videos, legal forms, and outlines of tenants’ rights in Kansas: https://www.kansaslegalservices.org/node/1934/tenant-issues-and-rights-kansas-renters","June 27, 2023",,
KC Medicine Cabinet,Non-Profit,"Inability to Pay Rent, Utility Issues",KC Metro Area,"(816) 276-7517 
Email mailto:administration@acruxkc.org",https://www.accesskc.org/where-to-find-help,"KC MEDICINE CABINET: They provide:
Emergency dental care (fillings and extractions), diabetic supplies, durable medical equipment (including hearing aids), prescriptions (no controlled substances), vision exam and eyeglassesOther services are possibly applicable. Contact KCMC for specific requests: Phone  (816) 276-7517; mailto:administration@kcmedicinecabinet.org","If tenants are facing unaffordable medical costs, the Medicine Cabinet may be able to assist. They provide:
• Emergency dental care (fillings and extractions)
• Diabetic supplies
• Durable medical equipment (including hearing aids)
• Prescriptions (no controlled substances)
• Vision exam and eyeglasses
• Other services are possibly applicable. Contact them for specific requests

Eligibility:
• Individuals whose household income is up to 200% of federal poverty level (cannot be more than twice the applicable income level https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines)
    ◦ Approximate per-month income:
        ▪ Single person – $2,430
        ▪ Two people – $3,287
        ▪ Family of four – $5,000
Required Documentation:
        ▪ Prescription or Medical order
        ▪ Proof of income for entire household
        ▪ Picture ID
        ▪ Social Security Cards or ITIN Cards for entire household
        ▪ Proof of address for past 30 days (homelessness certificate     counts)
        ▪ Each individual may receive one service date within a 12-month period with a maximum of $1,800 in services within a lifetime.
- Location:
            • MO counties: Cass, Clay, Jackson, Platte, Ray
            • KS counties: Johnson, Leavenworth, Wyandotte

Process: https://www.accesskc.org/where-to-find-help is where tenants can find their nearest intake agency. Tenants should bring required documentation, and can contact specific intake agencies for more information. Three locations can serve Spanish speakers.","June 26, 2023",,
KC Pet Project - Home Away From Home,Non-Profit,,KCMO Residents Only,"Phone Number: 816-683-1383 
Email Address: contact@kcpetproject.org 
Google Form: https://docs.google.com/forms/d/e/1FAIpQLSduFuCpf6-HSubRlKB8uQZWwyX96RCb6tLuJMi9CttG5Dwf7w/viewform",https://kcpetproject.org/,Provides temporary care for pets to reunite them with their families following a crisis. 816-683-1383,"Home Away From Home
The purpose of the Home Away from Home program is to provide temporary care for pets to reunite them with their families following a crisis. KC Pet Project could possibly provide shelter to animals for up to 90 days. 
• Response time: within 72 hours from time that the application is received
    ◦ From initial outreach attempt it takes an average of 1-2 weeks for foster placement
    ◦ They are unable to enroll pets into the program until a foster placement has been identified 
For more questions about this program, tenants can call KC Pet Project’s hotline number 816-683-1383 for more information. KCPP also provides food, medical care, and material needs for tenants who are struggling to take care of their pet. For any instances of this, refer tenants to the KCPP hotline!
REASONS ACCEPTABLE FOR PARTICIPATION IN THE HOME AWAY FROM HOME PROGRAM INCLUDE, BUT ARE NOT LIMITED TO:
• The owner and animal(s) are displaced from their home due to a natural disaster.
• The owner is the victim of domestic violence.
• The owner is temporarily hospitalized for medical treatment or rehabilitation.
• The owner and animal(s) are facing a temporary change in housing due to an extenuating circumstance such as the owner’s illness or loss of housing such as eviction or foreclosure.
Home Away from Home Program Qualifications:
• Applicants must be Kansas City, Missouri, residents – proof of residency may be required.
• Animals must be spayed/neutered, up to date on vaccinations, and microchipped. If the animals do not meet these qualifications, the Applicant must authorize KC Pet Project to perform these services prior to the animals entering into the program.
• Applicants must agree to provide all requested documentation including vaccination records, medical information, care information, and behavior information for each animal.
• Applicants must agree to the terms of the Home Away from Home Crisis Boarding Program.
    ◦ Applications are initially approved for a time frame of 30-days.
    ◦ Applicants may apply for an extension of 30-days, so long as they find additional support with an outside social service agency.
    ◦ Applicant’s participation in the program must not exceed 90-days.
KC Pet Project cannot guarantee placement for accepted applications within our program, despite our best efforts. As Kansas City’s municipal shelter, placement for pets enrolled in this program depends solely on the availability, skills, and willingness of our approved foster homes.
Accessibility:
• Bilingual staff can assist in accommodating spanish speakers
• They do have a text line and email communication to accommodate those who are hard of hearing","June 30, 2023",,
